STT,Ticker,Accuracy,MCC,Precision_Up,Recall_Up,F1_Score_Up,Precision_Down,Recall_Down,F1_Score_Down,Precision_Neutral,Recall_Neutral,F1_Score_Neutral
1,BID.VN,0.4222,0.0578,0.3590,0.1120,0.1707,0.3226,0.1695,0.2222,0.4489,0.8011,0.5754
2,BNB-USD,0.5252,0.0135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5264,1.0000,0.6898
3,BTC-USD,0.3803,0.0481,0.2857,0.1294,0.1781,0.3617,0.1683,0.2297,0.4019,0.7742,0.5291
4,CTG.VN,0.3541,0.0161,0.3982,0.2296,0.2913,0.2260,0.3264,0.2670,0.4338,0.4664,0.4495
5,ETH-USD,0.4293,-0.0001,0.1429,0.0094,0.0177,0.5000,0.0231,0.0441,0.4332,0.9669,0.5983
6,FPT.VN,0.4238,0.0819,0.3734,0.3930,0.3830,0.3111,0.0805,0.1279,0.4665,0.6573,0.5457
7,GAS.VN,0.5471,0.0592,0.2167,0.1275,0.1605,0.3846,0.1020,0.1613,0.6070,0.8472,0.7072
8,HPG.VN,0.4376,0.0652,0.3684,0.1750,0.2373,0.2903,0.0539,0.0909,0.4589,0.8511,0.5963
9,NQ=F,0.3897,0.0828,0.3836,0.5894,0.4647,0.4161,0.1712,0.2426,0.3883,0.4077,0.3977
10,SOL-USD,0.4507,0.0141,0.1333,0.0278,0.0460,0.3529,0.0759,0.1250,0.4762,0.9023,0.6234
11,TCB.VN,0.2366,-0.0817,0.0000,0.0000,0.0000,0.2390,0.9231,0.3797,0.2000,0.0177,0.0325
12,USDT-USD,0.6139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6139,1.0000,0.7608
13,VCB.VN,0.4899,0.0412,0.2769,0.2571,0.2667,0.1200,0.0238,0.0397,0.5737,0.7667,0.6563
14,VHM.VN,0.4058,0.0218,0.6111,0.5500,0.5789,0.0000,0.0000,0.0000,0.1935,0.4615,0.2727
15,VIC.VN,0.2029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2029,1.0000,0.3373
16,VPB.VN,0.3188,-0.0172,0.3571,0.2000,0.2564,0.2727,0.2857,0.2791,0.3333,0.4783,0.3929
17,^DJI,0.3867,0.0868,0.4043,0.1814,0.2504,0.3615,0.2260,0.2781,0.3907,0.7447,0.5125
18,^GSPC,0.4240,0.1318,0.4235,0.3384,0.3762,0.3446,0.2593,0.2959,0.4608,0.6494,0.5391
19,^NYA,0.3865,0.1114,0.4180,0.4650,0.4403,0.3585,0.0583,0.1003,0.3665,0.6917,0.4792
20,^RUT,0.3944,0.0103,0.4118,0.0896,0.1471,0.4063,0.8140,0.5420,0.2727,0.1233,0.1698
