STT,Ticker,RMSE,MAE,R2
1,BID.VN,575.4506,399.6084,0.9608
2,BNB-USD,16.1324,11.5331,0.9214
3,BTC-USD,1966.541,1400.45,0.9911
4,CTG.VN,523.8653,346.9808,0.9907
5,ETH-USD,99.2805,71.51,0.9727
6,FPT.VN,1656.1719,1099.8179,0.9973
7,GAS.VN,958.375,630.8044,0.9566
8,HPG.VN,349.4531,251.5744,0.984
9,NQ=F,243.1011,175.2203,0.9949
10,SOL-USD,8.0162,5.6786,0.9536
11,TCB.VN,418.0405,278.126,0.9864
12,USDT-USD,0.0004,0.0003,0.4715
13,VCB.VN,735.0339,492.1112,0.9569
14,VHM.VN,2170.2581,1634.007,0.9546
15,VIC.VN,2921.9297,2125.7811,0.9603
16,VPB.VN,308.2579,207.4099,0.9432
17,^DJI,335.6404,241.6568,0.9943
18,^GSPC,39.3664,24.8194,0.9989
19,^NYA,165.9036,121.1934,0.9917
20,^RUT,30.1746,22.7029,0.9886
