STT,ticker, bnh_return_pct ,model_return_pct, bnh_final_value , model_final_value ,bnh_max_drawdown,model_max_drawdown,bnh_sharpe_ratio,model_sharpe_ratio,model_num_trades
1,BID.VN,30.30%,22.91%,"130,298,824","122,914,350",27.82,22.08,0.7899,0.7209,24
2,BNB-USD,20.75%,-1.42%,"120,749,759","98,580,183",34.6,29.08,0.4641,0.1097,2
3,BTC-USD,172.03%,-13.73%,"272,026,083","86,272,306",28.14,44.26,1.2403,-0.0869,16
4,CTG.VN,77.64%,24.01%,"177,639,500","124,010,000",20.75,20.22,1.1008,0.5789,58
5,ETH-USD,-9.00%,5.44%,"91,005,032","105,444,099",63.24,56.95,0.1787,0.2998,4
6,FPT.VN,127.31%,123.77%,"227,312,616","223,767,772",31.89,22.39,1.297,1.4351,14
7,GAS.VN,-6.32%,6.00%,"93,679,709","106,000,152",39.01,24.54,-0.0446,0.2588,16
8,HPG.VN,84.15%,118.33%,"184,147,275","218,328,684",28.04,16.18,0.9836,1.3881,22
9,NQ=F,51.26%,35.46%,"151,258,205","135,463,650",35.28,29.04,0.569,0.4828,106
10,SOL-USD,22.94%,-1.31%,"122,942,701","98,686,144",59.71,49.04,0.6011,0.2421,8
11,TCB.VN,46.17%,-7.00%,"146,165,563","93,004,373",15.71,7,1.5695,-0.9949,2
12,USDT-USD,-0.06%,0.00%,"99,941,431","100,000,000",0.44,0,0.0507,0,0
13,VCB.VN,18.10%,25.81%,"118,103,965","125,809,622",21.99,22.04,0.4401,0.6235,18
14,VHM.VN,99.81%,74.45%,"199,812,539","174,452,360",13.14,13.14,5.2467,4.6797,4
15,VIC.VN,120.97%,0.00%,"220,973,003","100,000,000",17.46,0,5.3214,0,0
16,VPB.VN,31.85%,17.01%,"131,846,289","117,007,227",5.44,3.64,3.8416,2.6717,4
17,^DJI,70.31%,-3.57%,"170,311,468","96,428,316",21.94,18.74,0.7695,-0.0388,54
18,^GSPC,235.68%,36.19%,"335,680,124","136,189,155",33.93,36.49,0.6904,0.2634,558
19,^NYA,19.32%,4.90%,"119,325,618","104,898,759",22.37,26.09,0.3758,0.162,36
20,^RUT,41.10%,1.26%,"141,103,440","101,264,585",41.87,23.27,0.3529,0.0789,116
